Name (original name),Email,Join time,Leave time,Duration (minutes),Guest,Recording disclaimer response,In waiting room
Sarah Elizabeth Johnson,sarah.johnson22@emailtest.com,"09/18/2025 02:40:26 PM","09/18/2025 04:33:15 PM",113,No,OK,No
Michael David Rodriguez,michael.rodriguez22@emailtest.com,"09/18/2025 02:42:38 PM","09/18/2025 04:30:40 PM",108,No,OK,No
Jennifer Marie Thompson,jennifer.thompson22@emailtest.com,"09/18/2025 02:46:34 PM","09/18/2025 04:31:04 PM",105,No,OK,No
Robert James Wilson,robert.wilson22@emailtest.com,"09/18/2025 02:51:03 PM","09/18/2025 04:30:27 PM",99,No,OK,No
Amanda Grace Davis,amanda.davis22@emailtest.com,"09/18/2025 02:52:31 PM","09/18/2025 04:32:59 PM",101,No,OK,No
Christopher Lee Brown,chris.brown22@emailtest.com,"09/18/2025 02:52:52 PM","09/18/2025 04:31:52 PM",99,No,OK,No
Michelle Renee Garcia,michelle.garcia22@emailtest.com,"09/18/2025 02:54:01 PM","09/18/2025 04:30:29 PM",96,No,OK,No
David Michael Anderson,david.anderson22@emailtest.com,"09/18/2025 02:54:28 PM","09/18/2025 04:31:20 PM",97,No,OK,No
Stove Martinez2,lisa.martinezz22@emailtest.com,"09/18/2025 02:54:34 PM","09/18/2025 04:30:54 PM",96,No,OK,No
Steve O'Connor,kevin.oconnor@emailtest.com,"09/18/2025 02:55:16 PM","09/18/2025 04:31:04 PM",96,No,OK,No
Elizabeth White,rachel.white@emailtest.com,"09/18/2025 02:58:39 PM","09/18/2025 04:30:40 PM",92,No,OK,No
Daniel Taylor,daniel.taylor@emailtest.com,"09/18/2025 03:00:19 PM","09/18/2025 04:31:52 PM",92,No,OK,No
Stephanie Marie Clark,stephanie.clark@emailtest.com,"09/18/2025 03:02:24 PM","09/18/2025 04:30:27 PM",88,No,OK,No
Anthony Robert Lewis,anthony.lewis22@emailtest.com,"09/18/2025 03:02:45 PM","09/18/2025 04:32:59 PM",90,No,OK,No
Nicole Danielle Hall,nicole.hall22@emailtest.com,"09/18/2025 03:03:10 PM","09/18/2025 04:30:29 PM",87,No,OK,No
Matthew James Young,matthew.james.young22@emailtest.com,"09/18/2025 03:03:18 PM","09/18/2025 04:30:54 PM",88,No,OK,No
Ashley Nicole King,ashley.king22@emailtest.com,"09/18/2025 03:03:26 PM","09/18/2025 04:31:20 PM",88,No,OK,No
Brandon Michael Wright,brandon.michael.wright22@emailtest.com,"09/18/2025 03:05:23 PM","09/18/2025 04:30:40 PM",85,No,OK,No
Samantha Rose Adams,samantha.rose.adams22@emailtest.com,"09/18/2025 03:05:32 PM","09/18/2025 04:31:52 PM",86,No,OK,No
Jonathan Paul Scott,jonathan.scott22@emailtest.com,"09/18/2025 03:08:56 PM","09/18/2025 04:30:27 PM",82,No,OK,No
Jessica Lynn Green,jessica.green22@emailtest.com,"09/18/2025 03:09:44 PM","09/18/2025 04:32:59 PM",83,No,OK,No
Ryan Christopher Baker,ryan.baker22@emailtest.com,"09/18/2025 03:09:45 PM","09/18/2025 04:30:29 PM",81,No,OK,No
Melissa Ann Nelson,melissa.nelson22@emailtest.com,"09/18/2025 03:11:08 PM","09/18/2025 04:30:54 PM",80,No,OK,No
Tyler James Carter,tyler.carter22@emailtest.com,"09/18/2025 03:13:17 PM","09/18/2025 04:31:20 PM",78,No,OK,No
Amanda Grace Phillips,amanda.phillips22@emailtest.com,"09/18/2025 03:13:18 PM","09/18/2025 04:30:40 PM",77,No,OK,No
Justin Michael Evans,justin.evans22@emailtest.com,"09/18/2025 03:13:31 PM","09/18/2025 04:31:52 PM",78,No,OK,No
Lauren Elizabeth Turner,lauren.turner22@emailtest.com,"09/18/2025 03:13:35 PM","09/18/2025 04:30:27 PM",77,No,OK,No
Marcus Anthony Parker,marcus.parker22@emailtest.com,"09/18/2025 03:27:11 PM","09/18/2025 04:32:59 PM",66,No,OK,No
Emma Katherine Smith,emma.smith23@emailtest.com,"09/18/2025 03:28:15 PM","09/18/2025 04:30:45 PM",62,No,OK,No
James Robert Johnson,james.johnson23@emailtest.com,"09/18/2025 03:29:22 PM","09/18/2025 04:31:10 PM",62,No,OK,No
