Name (original name),Email,Join time,Leave time,Duration (minutes),Guest,Recording disclaimer response,In waiting room
Emma Watson,emma.watson@email.com,"09/17/2025 02:40:26 PM","09/17/2025 04:33:15 PM",113,No,OK,No
James Mitchell,james.mitchell@email.com,"09/17/2025 02:42:38 PM","09/17/2025 04:30:40 PM",108,No,OK,No
Olivia Chen,olivia.chen@email.com,"09/17/2025 02:46:34 PM","09/17/2025 04:31:04 PM",105,No,OK,No
Emma Watson,emma.watson@email.com,"09/17/2025 02:51:03 PM","09/17/2025 04:30:27 PM",99,No,OK,No
Benjamin Foster,benjamin.foster@email.com,"09/17/2025 02:52:31 PM","09/17/2025 04:32:59 PM",101,No,OK,No
Sophia Rivera,sophia.rivera@email.com,"09/17/2025 02:52:52 PM","09/17/2025 04:31:52 PM",99,No,OK,No
Alexander Kim,alexander.kim@email.com,"09/17/2025 02:54:01 PM","09/17/2025 04:30:29 PM",96,No,OK,No
Isabella Torres,isabella.torres@email.com,"09/17/2025 02:54:28 PM","09/17/2025 04:31:20 PM",97,No,OK,No
Noah Patel,noah.patel@email.com,"09/17/2025 02:54:34 PM","09/17/2025 04:30:54 PM",96,No,OK,No
Ava Singh,ava.singh@email.com,"09/17/2025 02:55:16 PM","09/17/2025 04:31:04 PM",96,No,OK,No
Lucas Johnson,lucas.johnson@email.com,"09/17/2025 02:58:39 PM","09/17/2025 04:30:40 PM",92,No,OK,No
Mia Williams,mia.williams@email.com,"09/17/2025 03:00:19 PM","09/17/2025 04:31:52 PM",92,No,OK,No
Ethan Brown,ethan.brown@email.com,"09/17/2025 03:02:24 PM","09/17/2025 04:30:27 PM",88,No,OK,No
Charlotte Davis,charlotte.davis@email.com,"09/17/2025 03:02:45 PM","09/17/2025 04:32:59 PM",90,No,OK,No
Mason Miller,mason.miller@email.com,"09/17/2025 03:03:10 PM","09/17/2025 04:30:29 PM",87,No,OK,No
Harper Wilson,harper.wilson@email.com,"09/17/2025 03:03:18 PM","09/17/2025 04:30:54 PM",88,No,OK,No
Aiden Moore,aiden.moore@email.com,"09/17/2025 03:03:26 PM","09/17/2025 04:31:20 PM",88,No,OK,No
Evelyn Taylor,evelyn.taylor@email.com,"09/17/2025 03:05:23 PM","09/17/2025 04:30:40 PM",85,No,OK,No
Liam Anderson,liam.anderson@email.com,"09/17/2025 03:05:32 PM","09/17/2025 04:31:52 PM",86,No,OK,No
Amelia Thomas,amelia.thomas@email.com,"09/17/2025 03:08:56 PM","09/17/2025 04:30:27 PM",82,No,OK,No
Henry Jackson,henry.jackson@email.com,"09/17/2025 03:09:44 PM","09/17/2025 04:32:59 PM",83,No,OK,No
Lucas Johnson,lucas.johnson@email.com,"09/17/2025 03:09:45 PM","09/17/2025 04:30:29 PM",81,No,OK,No
Grace White,grace.white@email.com,"09/17/2025 03:11:08 PM","09/17/2025 04:30:54 PM",80,No,OK,No
Oliver Harris,oliver.harris@email.com,"09/17/2025 03:13:17 PM","09/17/2025 04:31:20 PM",78,No,OK,No
Chloe Martin,chloe.martin@email.com,"09/17/2025 03:13:18 PM","09/17/2025 04:30:40 PM",77,No,OK,No
Amelia Thomas,amelia.thomas@email.com,"09/17/2025 03:13:31 PM","09/17/2025 04:31:52 PM",78,No,OK,No
Sebastian Thompson,sebastian.thompson@email.com,"09/17/2025 03:13:35 PM","09/17/2025 04:30:27 PM",77,No,OK,No
Victoria Garcia,victoria.garcia@email.com,"09/17/2025 03:27:11 PM","09/17/2025 04:32:59 PM",66,No,OK,No
