Legal Full Name (as it appears on your birth certificate or passport),Email Address,Phone Number,Address,"City, State, ZIP code",Gender,Marital Status,Do you have children?,What is your ethnicity?,Current Country of Residence,Current Country of Citizenship,Level of Proficiency in English,Other languages spoken fluently:,What is your preferred language for theological study?,What is your highest level of completed education?,Are you currently enrolled in any other academic or theological programs?,Current Occupation,Are there any special accommodations that will be needed during the program?,Have you ever been convicted for any criminal offenses? (Your answer will not necessarily disqualify you from the program or from a scholarship.),Name of Current Church,Your current role within your church,"If you are a lead pastor, how many congregation members does your church currently have? (Note: only include congregation members ages 18 and up)",With which denomination is your church affiliated?,Location of Current Church,How many years have you been affiliated with your church?,"What ministry experience do you currently have (pastoral, missions, teaching, youth, worship, etc.)?",How long have you been a believer?,Do you believe the Bible is the infallible Word of God? (Yes/No with explanation),Are there any teachings/doctrines you currently struggle with or are seeking clarity on?,Please paste a Statement of Purpose (minimum 150 words) demonstrating your commitment to studying through the duration of the program along with your goals and purpose for studying with CCBI.,"How do you hope to use your theological education to impact your church, community or nation?","Are you available for the full duration of the program, including assignments and exams?",Do you have reliable Internet access?,"Do you have access to a quiet, private space for studying?",How and through whom/what did you hear about us (Please be specific)?,Do you know anyone currently studying at CCBI?
Sarah Elizabeth Johnson,sarah.johnson22@email.com,555-0101,123 Oak Street,"Springfield, IL 62701",Female,Married,Yes,White,United States,United States,Proficient / Native,,English,Bachelor's Degree,No,Teacher,No,No,Grace Community Church,Member,N/A,Baptist,"Springfield, IL",5,Teaching Sunday School,15 years,Yes,No,"I am committed to deepening my understanding of Scripture and theological principles to better serve my church community. My goal is to become a more effective teacher and leader within my congregation, helping others grow in their faith through sound biblical teaching.","I hope to use my theological education to enhance my teaching ministry and help develop stronger discipleship programs in my church.",Yes,Yes,Yes,Church bulletin,No
Michael David Rodriguez,michael.rodriguez22@email.com,555-0102,456 Pine Avenue,"Austin, TX 78701",Male,Single,No,Hispanic,United States,United States,Proficient / Native,Spanish,English,Associate Degree,No,Social Worker,No,No,First Baptist Austin,Deacon,N/A,Baptist,"Austin, TX",8,Youth Ministry,12 years,Yes,No,"My commitment to theological study stems from a desire to serve God more effectively in ministry. I believe that proper biblical training will equip me to better serve the youth in my church and community.","I plan to use my education to strengthen youth programs and develop mentoring relationships with young people in my community.",Yes,Yes,Yes,Online search,No
Jennifer Marie Thompson,jennifer.thompson22@email.com,555-0103,789 Elm Drive,"Nashville, TN 37201",Female,Divorced,Yes,African American,United States,United States,Proficient / Native,,English,Master's Degree,No,Healthcare Administrator,No,No,New Hope Baptist,Minister,N/A,Baptist,"Nashville, TN",12,Women's Ministry,20 years,Yes,No,"I am dedicated to pursuing theological education to enhance my ministry calling. My goal is to gain deeper biblical knowledge and practical ministry skills to better serve women in my church and community.","I will use my theological training to develop comprehensive women's ministry programs and provide biblical counseling to those in need.",Yes,Yes,Yes,Church conference,No
Robert James Wilson,robert.wilson22@email.com,555-0104,321 Maple Lane,"Denver, CO 80201",Male,Married,Yes,White,United States,United States,Proficient / Native,,English,High School Diploma,No,Construction Manager,No,No,Mountain View Church,Elder,N/A,Non-Denominational,"Denver, CO",15,Men's Ministry,25 years,Yes,No,"My commitment to theological study is driven by a desire to be a more effective spiritual leader in my family and church. I want to deepen my understanding of God's Word to better guide others in their faith journey.","I plan to use my education to strengthen men's ministry programs and provide biblical leadership training for other men in my church.",Yes,Yes,Yes,Friend referral,No
Amanda Grace Davis,amanda.davis22@email.com,555-0105,654 Cedar Street,"Phoenix, AZ 85001",Female,Married,No,White,United States,United States,Proficient / Native,,English,Bachelor's Degree,No,Graphic Designer,No,No,Desert Springs Church,Volunteer,N/A,Presbyterian,"Phoenix, AZ",3,Children's Ministry,8 years,Yes,No,"I am committed to theological education to better understand and communicate God's truth to children and families in my church. My goal is to become a more effective children's ministry leader.","I will use my theological training to develop age-appropriate curriculum and training programs for children's ministry volunteers.",Yes,Yes,Yes,Church website,No
Christopher Lee Brown,chris.brown22@email.com,555-0106,987 Birch Road,"Seattle, WA 98101",Male,Single,No,Asian,United States,United States,Proficient / Native,Mandarin,English,Master's Degree,No,Software Engineer,No,No,Seattle Community Church,Small Group Leader,N/A,Evangelical,"Seattle, WA",6,Small Group Ministry,10 years,Yes,No,"My commitment to theological study comes from a desire to be better equipped for ministry in a diverse, urban environment. I want to understand how to effectively share the gospel across cultural boundaries.","I plan to use my education to develop cross-cultural ministry programs and help bridge cultural gaps within my church community.",Yes,Yes,Yes,Online advertisement,No
Michelle Renee Garcia,michelle.garcia22@email.com,555-0107,147 Spruce Court,"Miami, FL 33101",Female,Married,Yes,Hispanic,United States,United States,Proficient / Native,Spanish,English,Associate Degree,No,Nurse,No,No,Coral Gables Baptist,Member,N/A,Baptist,"Miami, FL",7,Healthcare Ministry,18 years,Yes,No,"I am dedicated to theological education to better serve patients and families through healthcare ministry. My goal is to integrate faith and healing in my professional practice.","I will use my theological training to develop healthcare ministry programs and provide spiritual support to patients and their families.",Yes,Yes,Yes,Medical conference,No
David Michael Anderson,david.anderson22@email.com,555-0108,258 Willow Way,"Portland, OR 97201",Male,Married,Yes,White,United States,United States,Proficient / Native,,English,Bachelor's Degree,No,Accountant,No,No,Grace Fellowship,Deacon,N/A,Non-Denominational,"Portland, OR",10,Financial Ministry,22 years,Yes,No,"My commitment to theological study is driven by a desire to provide sound biblical counsel in financial matters and stewardship. I want to help others understand God's principles for money management.","I plan to use my education to develop financial stewardship programs and provide biblical counseling on money matters to church members.",Yes,Yes,Yes,Church newsletter,No
Lisa Ann Martinez,lisa.martinez22@email.com,555-0109,369 Poplar Place,"San Antonio, TX 78201",Female,Divorced,Yes,Hispanic,United States,United States,Proficient / Native,Spanish,English,High School Diploma,No,Retail Manager,No,No,San Antonio First Baptist,Member,N/A,Baptist,"San Antonio, TX",4,Children's Ministry,14 years,Yes,No,"I am committed to theological education to become a more effective children's ministry leader. My goal is to help children develop a strong foundation in their faith from an early age.","I will use my theological training to create engaging children's programs and train other volunteers in effective children's ministry techniques.",Yes,Yes,Yes,Church bulletin,No
Kevin Patrick O'Connor,kevin.oconnor22@email.com,555-0110,741 Ash Street,"Boston, MA 02101",Male,Single,No,White,United States,United States,Proficient / Native,,English,Master's Degree,No,College Professor,No,No,Boston Community Church,Small Group Leader,N/A,Evangelical,"Boston, MA",8,Teaching Ministry,16 years,Yes,No,"My commitment to theological study stems from a desire to integrate faith and learning in my academic work. I want to help students understand how Christian principles apply to their studies and future careers.","I plan to use my theological education to develop faith-based academic programs and mentor students in integrating their faith with their professional development.",Yes,Yes,Yes,Academic conference,No
